dept_id,dept_name,faculty_id,campus,salary_total,avg_salary,avg_salary_m,avg_salary_f,avg_salary_unknown_gender,expenses_total,avg_expenses,avg_emp_rating,num_ratings,num_employees,female_count,male_count,no_gender_count
243,"Conferences & Accommodation",NULL,van,377516,94379.0000,115574.0000,87314.0000,NULL,33809,8452.2500,NULL,0,4,3,1,0
156,"Professional Development & Community Engagement",6,van,377056,94264.0000,92739.0000,95789.0000,NULL,10928,2732.0000,NULL,0,4,2,2,0
294,Finance,NULL,van,366192,91548.0000,86526.0000,96570.0000,NULL,7816,1954.0000,NULL,0,4,2,2,0
339,"Learning Applications",NULL,van,361026,90256.5000,90256.5000,NULL,NULL,1170,292.5000,NULL,0,4,0,4,0
134,"Centre for Molecular Medicine and Therapeutics",NULL,van,357621,89405.2500,90255.6667,86854.0000,NULL,437,109.2500,NULL,0,4,1,3,0
360,"Centre For Hip Health",NULL,van,357129,89282.2500,NULL,89282.2500,NULL,3146,786.5000,NULL,0,4,4,0,0
323,"VP Communications & Community Partnership",NULL,van,356008,178004.0000,270073.0000,85935.0000,NULL,43140,21570.0000,NULL,0,2,1,1,0
161,"Senate & Curriculum Services",NULL,van,354384,88596.0000,107505.0000,82293.0000,NULL,26042,6510.5000,NULL,0,4,3,1,0
297,Communications,5,van,350185,87546.2500,87088.3333,88920.0000,NULL,8065,2016.2500,NULL,0,4,1,3,0
300,"Nephrology Division",NULL,van,348325,116108.3333,130102.0000,109111.5000,NULL,0,0.0000,NULL,0,3,2,1,0
289,"Research Systems",NULL,van,347489,86872.2500,86872.2500,NULL,NULL,7941,1985.2500,NULL,0,4,0,4,0
331,"Hematology Division",NULL,van,346420,173210.0000,208032.0000,138388.0000,NULL,1328,664.0000,NULL,0,2,1,1,0
311,"Medical Postgraduate Education",5,van,345647,115215.6667,159436.0000,93105.5000,NULL,22478,7492.6667,NULL,0,3,2,1,0
358,"Development Services",NULL,van,344815,114938.3333,120650.0000,103515.0000,NULL,10177,3392.3333,NULL,0,3,1,2,0
247,"Evaluation Studies Unit",5,van,344780,86195.0000,95212.0000,75638.0000,78718.0000,14300,3575.0000,NULL,0,4,1,2,1
228,Nexterra,NULL,van,344329,86082.2500,86082.2500,NULL,NULL,923,230.7500,NULL,0,4,0,4,0
246,"Office of the Provost and Vice-Principal Academic",NULL,oka,343189,171594.5000,NULL,171594.5000,NULL,10952,5476.0000,NULL,0,2,2,0,0
147,"Vaccine Evaluation Centre",NULL,van,343001,85750.2500,NULL,85750.2500,NULL,8064,2016.0000,NULL,0,4,4,0,0
163,Electrician,NULL,van,341884,85471.0000,85471.0000,NULL,NULL,1625,406.2500,NULL,0,4,0,4,0
277,"Strategic Partnerships",NULL,van,341003,113667.6667,131725.0000,77553.0000,NULL,19030,6343.3333,NULL,0,3,1,2,0
233,"Borrower Services",NULL,van,335687,111895.6667,95643.0000,120022.0000,NULL,3287,1095.6667,NULL,0,3,2,1,0
255,"Centre For Disease Control",NULL,van,332639,83159.7500,75666.0000,85657.6667,NULL,11374,2843.5000,NULL,0,4,3,1,0
144,"Faculty Of Health - Dean's Office",10,oka,331622,165811.0000,165811.0000,NULL,NULL,44981,22490.5000,NULL,0,2,0,2,0
342,"Web Services",NULL,van,328145,82036.2500,79505.0000,89630.0000,NULL,921,230.2500,NULL,0,4,1,3,0
62,"Developmental Neurosciences and Child Health",5,van,327909,81977.2500,NULL,81977.2500,NULL,6355,1588.7500,NULL,0,4,4,0,0
245,"W.M. Young Centre for Applied Ethics",NULL,van,323725,161862.5000,161862.5000,NULL,NULL,5242,2621.0000,NULL,0,2,0,2,0
333,"Faculty Relations",NULL,van,323173,107724.3333,111239.0000,105967.0000,NULL,10911,3637.0000,NULL,0,3,2,1,0
256,"University Archives",NULL,van,321800,107266.6667,107266.6667,NULL,NULL,8136,2712.0000,NULL,0,3,0,3,0
111,Education,NULL,van,317304,105768.0000,124846.0000,96229.0000,NULL,6408,2136.0000,NULL,0,3,2,1,0
390,"Fine Arts Gallery",NULL,van,314879,78719.7500,79719.0000,77720.5000,NULL,9060,2265.0000,NULL,0,4,2,2,0
364,"Green College",NULL,van,310708,155354.0000,155354.0000,NULL,NULL,2975,1487.5000,NULL,0,2,0,2,0
368,Custodial,NULL,van,308594,102864.6667,97325.0000,105634.5000,NULL,3422,1140.6667,NULL,0,3,2,1,0
131,"Service Layer",NULL,van,307068,102356.0000,85505.0000,110781.5000,NULL,9994,3331.3333,NULL,0,3,2,1,0
248,"University Research Forest",NULL,van,298663,99554.3333,109215.5000,80232.0000,NULL,8220,2740.0000,5.0000,1,3,1,2,0
269,"Security Services",NULL,van,291801,97267.0000,97267.0000,NULL,NULL,12000,4000.0000,NULL,0,3,0,3,0
181,"Faculty Affairs",5,van,290348,96782.6667,NULL,96782.6667,NULL,6856,2285.3333,NULL,0,3,3,0,0
250,"UBC Press",NULL,van,290224,96741.3333,NULL,96741.3333,NULL,21835,7278.3333,NULL,0,3,3,0,0
273,"Asian Library",NULL,van,286150,95383.3333,NULL,95383.3333,NULL,6899,2299.6667,NULL,0,3,3,0,0
278,Ethics,NULL,van,285776,95258.6667,NULL,95258.6667,NULL,5119,1706.3333,NULL,0,3,3,0,0
288,"Student Housing",NULL,van,276953,92317.6667,75634.0000,100659.5000,NULL,6870,2290.0000,NULL,0,3,2,1,0
350,"Office of Planning & Institutional Research",NULL,van,272281,90760.3333,90433.0000,90924.0000,NULL,20930,6976.6667,1.0000,1,3,2,1,0
171,"Building Management System",NULL,van,269423,89807.6667,89807.6667,NULL,NULL,6336,2112.0000,NULL,0,3,0,3,0
315,"University Community Services",NULL,van,267806,133903.0000,NULL,133903.0000,NULL,11792,5896.0000,NULL,0,2,2,0,0
261,Gardener,NULL,van,264807,88269.0000,88269.0000,NULL,NULL,3800,1266.6667,NULL,0,3,0,3,0
257,"Xwi7Xwa Library",NULL,van,263476,87825.3333,NULL,87825.3333,NULL,8884,2961.3333,NULL,0,3,3,0,0
363,"Equity Office",NULL,van,261729,87243.0000,93333.0000,84198.0000,NULL,668,222.6667,NULL,0,3,2,1,0
396,"St. John's College",NULL,van,258268,129134.0000,169622.0000,88646.0000,NULL,8168,4084.0000,5.0000,1,2,1,1,0
361,"ICORD (International Collaboration On Repair Discoveries)",NULL,van,256561,85520.3333,86124.0000,84313.0000,NULL,1974,658.0000,NULL,0,3,1,2,0
214,"Student Housing & Hospitality Services",NULL,van,255940,85313.3333,89005.5000,77929.0000,NULL,12949,4316.3333,NULL,0,3,1,2,0
325,Finance,NULL,oka,253298,84432.6667,90811.0000,81243.5000,NULL,7749,2583.0000,NULL,0,3,2,1,0
268,"Fire Life Safety",NULL,van,252619,84206.3333,84206.3333,NULL,NULL,403,134.3333,NULL,0,3,0,3,0
324,"Shift Engineer",NULL,van,246278,82092.6667,82092.6667,NULL,NULL,509,169.6667,NULL,0,3,0,3,0
229,"Associate VP Alumni Affairs",NULL,van,245522,122761.0000,99379.0000,146143.0000,NULL,32251,16125.5000,NULL,0,2,1,1,0
353,"Financial Reporting",NULL,van,245371,81790.3333,NULL,81790.3333,NULL,4749,1583.0000,NULL,0,3,3,0,0
166,"Support Program to Advance Research",NULL,van,245184,245184.0000,245184.0000,NULL,NULL,4059,4059.0000,NULL,0,1,0,1,0
389,"Payment And Procurement Services",NULL,van,245129,122564.5000,167291.0000,77838.0000,NULL,10333,5166.5000,NULL,0,2,1,1,0
319,"Chan Centre For Performing Arts",NULL,van,234558,117279.0000,117279.0000,117279.0000,NULL,18813,9406.5000,NULL,0,2,1,1,0
192,"Digital Media Technology",NULL,van,229546,114773.0000,114773.0000,NULL,NULL,8983,4491.5000,NULL,0,2,0,2,0
175,"Office Of The Comptroller",NULL,van,222015,222015.0000,222015.0000,NULL,NULL,9025,9025.0000,NULL,0,1,0,1,0
347,"Rehabilitation Medicine Division",NULL,van,221069,221069.0000,221069.0000,NULL,NULL,9858,9858.0000,NULL,0,1,0,1,0
160,"Vancouver Coastal Health Research Institute",NULL,van,220304,110152.0000,NULL,110152.0000,NULL,0,0.0000,NULL,0,2,2,0,0
130,"Go Global: International Learning Program",NULL,van,213067,106533.5000,NULL,106533.5000,NULL,12483,6241.5000,NULL,0,2,2,0,0
338,"Athletics & Recreation",NULL,oka,210584,105292.0000,105292.0000,NULL,NULL,26553,13276.5000,NULL,0,2,0,2,0
221,"Science Co-Op",4,van,204775,102387.5000,127365.0000,77410.0000,NULL,9894,4947.0000,15.0000,3,2,1,1,0
263,"Housing & Conferences",NULL,oka,201954,100977.0000,NULL,100977.0000,NULL,17824,8912.0000,NULL,0,2,2,0,0
213,"Human Resources & Payroll Systems",NULL,van,199670,99835.0000,NULL,99835.0000,NULL,0,0.0000,NULL,0,2,2,0,0
223,"Central Office",NULL,van,197139,98569.5000,NULL,98569.5000,NULL,0,0.0000,NULL,0,2,2,0,0
280,"Music, Art & Architecture",NULL,van,194409,97204.5000,NULL,97204.5000,NULL,3864,1932.0000,NULL,0,2,2,0,0
341,"Rare Books & Special Collections",NULL,van,193440,96720.0000,NULL,96720.0000,NULL,5078,2539.0000,NULL,0,2,2,0,0
374,"Infrastructure Development",NULL,van,193285,193285.0000,193285.0000,NULL,NULL,2799,2799.0000,NULL,0,1,0,1,0
244,"Refrigration Mechanics",NULL,van,191194,95597.0000,96186.0000,NULL,95008.0000,429,214.5000,NULL,0,2,0,1,1
96,"Arts Academic Advising",7,van,191078,95539.0000,NULL,95539.0000,NULL,6940,3470.0000,1.0000,1,2,2,0,0
190,"Centre For Disease Modeling",NULL,van,190232,95116.0000,NULL,95116.0000,NULL,1330,665.0000,NULL,0,2,2,0,0
307,"Graduate Studies - Dean's Office",NULL,oka,189698,189698.0000,NULL,189698.0000,NULL,10267,10267.0000,NULL,0,1,1,0,0
110,"Centre For Community Engaged Learning",NULL,van,189685,94842.5000,NULL,94842.5000,NULL,16970,8485.0000,NULL,0,2,2,0,0
410,"Applied Science - Dean's Office",3,oka,189615,189615.0000,189615.0000,NULL,NULL,5157,5157.0000,NULL,0,1,0,1,0
285,"VP Finance, Resources & Operations",NULL,van,189006,94503.0000,NULL,97742.0000,91264.0000,3634,1817.0000,NULL,0,2,1,0,1
349,"International Office",NULL,van,188199,94099.5000,106727.0000,81472.0000,NULL,7746,3873.0000,NULL,0,2,1,1,0
198,"C+CP Campus Program & Animation",NULL,van,187010,93505.0000,NULL,93505.0000,NULL,6811,3405.5000,NULL,0,2,2,0,0
330,"Co-Op Education Program",NULL,van,185843,92921.5000,NULL,92921.5000,NULL,14944,7472.0000,NULL,0,2,2,0,0
290,"Life Science Institute",NULL,van,185442,92721.0000,104225.0000,81217.0000,NULL,9573,4786.5000,NULL,0,2,1,1,0
237,"Sustainability Institute",NULL,oka,183959,183959.0000,183959.0000,NULL,NULL,11372,11372.0000,NULL,0,1,0,1,0
